epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1141.55,1.26688,0.57342,1.04911,0.77483,0.78251,0.73283,0.32974,2.3525,0.89472,1.53123,0.000742625,0.000742625,0.000742625
43,1163.8,1.27456,0.55997,1.05524,0.78017,0.77125,0.72963,0.34054,2.35748,0.92211,1.53372,0.00073025,0.00073025,0.00073025
44,1185.8,1.27084,0.57215,1.0562,0.78115,0.77791,0.72127,0.3374,2.34952,0.94043,1.53711,0.000717875,0.000717875,0.000717875
45,1207.79,1.27072,0.55537,1.05144,0.72321,0.73177,0.66629,0.31654,2.484,0.97017,1.62983,0.0007055,0.0007055,0.0007055
46,1230.45,1.25674,0.56049,1.04422,0.73544,0.72798,0.66859,0.30673,2.47704,1.00642,1.62004,0.000693125,0.000693125,0.000693125
47,1253.5,1.25901,0.56001,1.04454,0.79823,0.78448,0.753,0.34894,2.30449,0.91789,1.48353,0.00068075,0.00068075,0.00068075
48,1276.42,1.25768,0.55107,1.0484,0.75872,0.79396,0.73573,0.3412,2.34214,0.94586,1.52117,0.000668375,0.000668375,0.000668375
49,1299.3,1.26298,0.54984,1.04934,0.79219,0.80355,0.75069,0.32969,2.36648,0.91674,1.52918,0.000656,0.000656,0.000656
50,1322.17,1.2404,0.54736,1.04015,0.78508,0.77138,0.72209,0.3258,2.36782,0.95598,1.53633,0.000643625,0.000643625,0.000643625
51,1345.14,1.23825,0.54138,1.03926,0.76667,0.80618,0.74273,0.34502,2.31153,0.92449,1.51889,0.00063125,0.00063125,0.00063125
52,1368.03,1.23539,0.54432,1.03933,0.78799,0.78915,0.74328,0.34676,2.32881,0.92198,1.52997,0.000618875,0.000618875,0.000618875
53,1390.43,1.23401,0.53866,1.04027,0.76633,0.7755,0.7278,0.34288,2.34258,0.93901,1.54713,0.0006065,0.0006065,0.0006065
54,1412.46,1.23764,0.53731,1.03534,0.76747,0.78243,0.71875,0.33153,2.39182,0.91549,1.56675,0.000594125,0.000594125,0.000594125
55,1434.43,1.23999,0.53649,1.03317,0.77291,0.77021,0.73509,0.34522,2.33215,0.92155,1.52657,0.00058175,0.00058175,0.00058175
56,1456.34,1.23263,0.53322,1.0331,0.76669,0.77013,0.71294,0.3404,2.3695,0.96138,1.58856,0.000569375,0.000569375,0.000569375
57,1478.27,1.22658,0.53765,1.03342,0.75672,0.76215,0.7031,0.33679,2.35784,0.94078,1.55486,0.000557,0.000557,0.000557
58,1500.16,1.22478,0.52503,1.03671,0.76242,0.77361,0.73417,0.34603,2.35046,0.95758,1.55686,0.000544625,0.000544625,0.000544625
59,1521.86,1.21141,0.52256,1.02623,0.77956,0.79769,0.74581,0.34044,2.33542,0.93708,1.53543,0.00053225,0.00053225,0.00053225
60,1543.78,1.21746,0.53196,1.02849,0.79108,0.79296,0.74389,0.3509,2.32921,0.91626,1.527,0.000519875,0.000519875,0.000519875
61,1565.73,1.20158,0.51445,1.02418,0.76564,0.78738,0.71476,0.34214,2.36073,0.92555,1.55835,0.0005075,0.0005075,0.0005075
