epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.662,1.8904,2.55273,1.36518,0.792,0.75854,0.75517,0.31758,2.2052,1.73806,1.36827,0.000415052,0.000415052,0.000415052
2,665.112,1.64076,1.4091,1.21724,0.77146,0.71368,0.69802,0.30459,2.29256,1.42781,1.42308,0.000823484,0.000823484,0.000823484
3,1007.26,1.60095,1.19012,1.20078,0.82966,0.82711,0.79696,0.34991,2.10559,1.23783,1.30637,0.00122367,0.00122367,0.00122367
4,1397.54,1.57391,1.06788,1.19347,0.88029,0.86105,0.86502,0.38142,2.04058,1.06905,1.27448,0.00121287,0.00121287,0.00121287
